Story ID,Story Name,Description,Priority,Iteration number,Acceptance Criteria,Estimation,Notes,Date started,Date finished
US32,Set Application Status to Pending,"As a Module Organiser, I want to set an application status to Pending, so that I can keep the candidate before making a final decision.",Should,4,"1. The module organiser can set the application status to Pending.
2. The updated status is saved successfully.
3. The applicant view shows Pending.
4. The result matches the correct application.",2,Supports temporary pending decisions.,2026-05-03,2026-05-17
US33,View Assigned Workload of Each TA,"As an administrator, I want to view the assigned workload of each TA, so that I can understand the current allocation.",Should,4,"1. The administrator can view the workload of each TA.
2. The workload is linked to accepted jobs.
3. The data is displayed clearly.
4. The page loads successfully.",5,Shows workload allocation by TA.,2026-05-03,2026-05-17
US34,View Overall TA Workload,"As an administrator, I want to view the overall workload of TAs, so that I can avoid overloading individual TAs.",Should,4,"1. The system can summarise the workload of each TA.
2. The overall workload information is displayed clearly.
3. The administrator can identify TAs with high workload.
4. The data is accurate.",3,Supports overall workload monitoring.,2026-05-03,2026-05-17
US35,Data Storage in Text Files,"As a system developer, I want all data to be stored in CSV/JSON files, so that the system remains compatible with existing school systems.",Must,1,"1. All user data stored in .json or .csv format
2. No database (MySQL, etc.) is used
3. Files can be backed up by simply copying
4. File format is documented in README",3,,2026-03-22,2026-04-05
US36,Password Security,"As a system user, I want my password to be stored securely, so that my personal information is protected.",Must,2,"1. Passwords are not stored in plain text
2. Use hashing before saving to file
3. Login validates against hashed password
4. Error messages don't reveal whether username or password was wrong",2,,2026-04-05,2026-04-19
US37,Responsive Application Forms,"As a TA applicant, I want form validation to show errors immediately, so that I can correct mistakes before submitting.",Should,3,"1. Required fields show warning if left empty
2. Email format is validated
3. Error messages are clear and specific
4. Form data is preserved when errors occur",2,,2026-04-19,2026-05-03
US38,System Performance,"As a Module Organiser, I want the applicant list to load quickly even with many applicants, so that I can efficiently review candidates.",Could,4,"1. List of 50+ applicants loads in <3 seconds
2. Sorting and filtering respond in <1 second
3. System remains responsive during data loading",3,,2026-05-03,2026-05-17
US39,Error Handling,"As a system user, I want clear error messages when something goes wrong, so that I understand what happened and what to do next.",Should,3,"1. File read/write errors show user-friendly message
2. Network/timeout errors are caught
3. Errors are logged for debugging
4. System doesn't crash on unexpected errors",2,,2026-04-19,2026-05-03
US-C1,Skill Match Score,"As a Module Organiser, I want to see a skill match score for each applicant, so that I can quickly identify the most suitable candidates for a job.",Could,4,"1. The system compares job skill requirements with the applicant's skills
2. A match score (e.g., 0-100%) is displayed next to each applicant
3. The score updates automatically when skills or requirements change
4. Higher scores are visually highlighted",5,AI-assisted feature; requires skill comparison logic.,2026-05-03,2026-05-17
US-C2,Skill Gap Alert for Applicants,"As a TA applicant, I want to see which skills I am missing for a job before I apply, so that I can decide whether to apply or improve my profile first.",Could,4,"1. When viewing a job, the system highlights missing skills from the applicant's profile
2. Missing skills are listed clearly
3. The applicant is not blocked from applying
4. The feature is available for all open jobs",5,AI-assisted feature; helps applicants improve self-awareness.,2026-05-03,2026-05-17
US-C3,Workload Balance Warning for Admin,"As an administrator, I want to receive a warning if a TA's total assigned workload exceeds a threshold, so that I can avoid overloading individuals.",Could,4,"1. The system calculates total workload from all accepted jobs per TA
2. A configurable threshold (e.g., 20 hours/week) is used
3. A warning icon or message appears in the admin view
4. The warning does not block assignment but provides visibility",5,Supports workload balancing; configurable threshold is a plus.,2026-05-03,2026-05-17
US-W1,Auto-Suggest Jobs for TA,"As a TA applicant, I want the system to suggest jobs that match my skills, so that I don't have to search manually for suitable positions.",Want,4,"1. On the TA homepage, a list of recommended jobs is shown
2. Recommendations are based on skill match with job requirements
3. Recommended jobs are open and not yet applied to
4. The list updates when skills or jobs change",5,AI-assisted feature; enhances user experience.,2026-05-03,2026-05-17
US-W2,Export Workload Report,"As an administrator, I want to export the TA workload summary to a CSV file, so that I can share it with academic coordinators.",Want,4,"1. A button ""Export to CSV"" is available on the admin workload page
2. The exported file contains TA name, total hours, and assigned jobs
3. The file format is CSV and can be opened in Excel
4. The export includes all TAs with accepted jobs",3,Enhances administrative usability; no AI needed.,2026-05-03,2026-05-17
